,seq_and_struc_names
0,Molecularweight
1,Residues
2,AvResWeight
3,Charge
4,Isoelectric
5,A280_molar_ext
6,A280_molar_ext_cyst
7,A280_ext_coeff
8,A280_ext_coeff_cyst
9,Prob
10,Ala
11,Arg
12,Asn
13,Asp
14,Cys
15,Gln
16,Glu
17,Gly
18,His
19,Ile
20,Leu
21,Lys
22,Met
23,Phe
24,Pro
25,Ser
26,Thr
27,Trp
28,Tyr
29,Val
30,Acidic
31,Aliphatic
32,Aromatic
33,Basic
34,Charged
35,Non.polar
36,Polar
37,Small
38,Tiny
39,Glyc_N
40,Glyc_O
41,ph_TYR
42,ph_THR
43,ph_SER
44,Transmembrane Helices
45,Signal Peptide
46,PEST region
47,Secondary Structure (Helices)
48,Secondary Structure (Betasheet)
49,Secondary Structure (turn)
50,Secondary Structure (coil)
51,Solvent Accessibility
52,Xc1.A
53,Xc1.R
54,Xc1.N
55,Xc1.D
56,Xc1.C
57,Xc1.Q
58,Xc1.E
59,Xc1.G
60,Xc1.H
61,Xc1.I
62,Xc1.L
63,Xc1.K
64,Xc1.M
65,Xc1.F
66,Xc1.P
67,Xc1.S
68,Xc1.T
69,Xc1.W
70,Xc1.Y
71,Xc1.V
72,Xc2.lambda1
73,Xc2.lambda2
74,Xc2.lambda3
75,alphaticr.alphaticr
76,alphaticr.aromatic
77,alphaticr.postivecharger
78,alphaticr.negativecharger
79,alphaticr.uncharger
80,aromatic.alphaticr
81,aromatic.aromatic
82,aromatic.postivecharger
83,aromatic.negativecharger
84,aromatic.uncharger
85,postivecharger.alphaticr
86,postivecharger.aromatic
87,postivecharger.postivecharger
88,postivecharger.negativecharger
89,postivecharger.uncharger
90,negativecharger.alphaticr
91,negativecharger.aromatic
92,negativecharger.postivecharger
93,negativecharger.negativecharger
94,negativecharger.uncharger
95,uncharger.alphaticr
96,uncharger.aromatic
97,uncharger.postivecharger
98,uncharger.negativecharger
99,uncharger.uncharger
100,Druggability Score 
101,Total Pocket Number
102,Score 
103,Second Highest Druggable Pocket Score
104,Third Highest Druggable Pocket Score
105,Number of Alpha Spheres 
106,Total SASA 
107,Polar SASA 
108,Apolar SASA 
109,Volume 
110,Mean local hydrophobic density 
111,Mean alpha sphere radius 
112,Mean alp. sph. solvent access 
113,Apolar alpha sphere proportion 
114,Hydrophobicity score
115,Volume score
116,Polarity score
117,Charge score 
118,Proportion of polar atoms
119,Alpha sphere density 
120,Cent. of mass - Alpha Sphere max dist
121,Flexibility 
